"Day, game (conference) (network)",Rating,Viewers (in thousands)
"December 15, 2018 North Carolina A&T vs. Alcorn State (Celebration) (ABC)",1.6,2345
"December 27, 2018 Duke vs. Temple (Independence) (ESPN)",1.2,1801
"December 31, 2018 Northwestern vs Utah (Holiday) (FS1)",0.9,1787
"December 20, 2018 Marshall vs. South Florida (Gasparilla) (ESPN)",1.1,1750
"December 22, 2018 Troy vs. Buffalo (Mobile) (ESPN)",1,1698
"December 19, 2018 Ohio vs. San Diego State (Frisco) (ESPN)",0.9,1447
"December 26, 2019 Boston College vs. Boise State (Dallas) (ESPN)",0.9,1445
"December 21, 2018 Brigham Young vs. Western Michigan (Idaho) (ESPN)",0.9,1372
"December 15, 2018 Middle Tennesse State vs Appalachian State (New Orleans) (ESPN)",0.8,1371
"December 18, 2018 Alabama Birmingham vs. Northern Illinois (Boca Raton) (ESPN)",0.8,1346
"December 22, 2018 Louisiana Tech vs. Hawaii (Hawaii) (ESPN)",0.75,1159
"January 5, 2019 North Dakota State vs Eastern Washington (FCS Champ.) (ESPN2)",0.6,1004
"December 15, 2018 Georgia Southern vs. Eastern Michigan (Camellia) (ESPN)",0.6,986
"December 15, 2018 Utah State vs. North Texas (New Mexico) (ESPN)",0.7,968
"December 21, 2018 Florida International vs. Toledo (Bahamas) (ESPN)",0.56,838
"December 14, 2018 South Dakota State vs. North Dakota State (FCS Semis) (ESON2)",0.51,846
"December 15, 2018 Maine vs. Eastern Washington (FCS Semis) (ESPN2)",0.28,448
