"Day, game (conference) (network)",Rating,Viewers (in thousands)
"December 2, 2016 W. Michigan vs. Ohio (MAC Champ.) (ESPN2)",-,1358.0
"December 3, 2016 Alabama vs. Florida (SEC Champ.) (CBS)",6.6,11093.0
"December 3, 2016 Penn State vs. Wisconsin (B1G Champ.) (FOX)",5.3,9189.0
"December 3, 2016 Clemson vs. Va. Tech (ACC Champ.) (ABC)",3.3,5338.0
"December 3, 2016 Oklahoma vs. Oklahoma St. (Big 12) (FOX)",3.1,4817.0
"December 3, 2016 Temple vs. Navy (ACC Champ.) (ABC)",1.4,2050.0
"December 3, 2016 Baylor vs. W. Virginia (Big 12) (FS1)",0.6,1011.0
"December 3, 2016 WKU vs. La. Tech (C-USA Champ.) (ESPN)",0.6,926.0
"December 3, 2016 SDSU vs. Wyoming (MWC Champ.) (ESPN)",0.4,713.0
"December 3, 2016 K-State vs. TCU (Big 12) (FS1)",0.3,431.0
"December 3, 2016 Troy vs. Ga. Southern (Sun Belt) (ESPN2)",0.2,269.0
"December 3, 2016 Ark. State vs. Texas State (Sun Belt) (ESPN2)",0.15,228.0
"December 3, 2016 Grambling vs. Alcon St. (SWAC Champ.) (ESPNU)",-,160.0
"December 4, 2016 CFP Selection Show",-,1328.0
"December 9, 2016 Sam Houston St. vs. JMU (FCS qtrs) (ESPN2)",-,509.0
"December 10, 2016 Army vs. Navy (Ind., American) (CBS)",5,7940.0
"December 10, 2016 Heisman Trophy Presentation (ESPN)",1.6,2638.0
"December 10, 2016 South Dakota St. vs. North Dakota St. (FCS qtrs) (ESPN)",1.3,1984.0
"December 16, 2016 JMU vs. NDSU (FCS semis) (ESPN2)",-,1065.0
"December 16, 2016 Mry Hrdn-Baylor vs. UW-Oshkosh (D-III Champ.) (ESPNU)",-,340.0
"December 17, 2016 SDSU vs. Houston (Vegas Bowl) (ABC)",2.4,3744.0
"December 17, 2016 Grambling vs. N.C. Central (Celeb. Bowl) (ABC)",1.8,2711.0
"December 17, 2016 App. State vs. Toledo (Camellia Bowl) (ESPN)",0.9,1483.0
"December 17, 2016 New Mexico vs. UTSA (N. Mexico Bowl) (ESPN)",0.9,1391.0
"December 17, 2016 Southern Miss vs. UL-Lafayette (N. Orlns. Bowl) (ESPN)",0.9,1335.0
"December 17, 2016 NW Missouri St. vs. Northern Alabama (D-II Champ.) (ESPN2)",0.5,790.0
"December 17, 2016 E. Washington vs. Youngstown St. (FCS semis) (ESPNU)",-,457.0
"December 19, 2016 E. Tulsa vs. CMU (M. Beach Bowl) (ESPN)",-,794.0
"December 20, 2016 WKU vs. Memphis (Boca Bowl) (ESPN)",-,1581.0
"December 21, 2016 BYU vs. Wyoming (Poinsettia Bowl) (ESPN)",-,2380.0
"December 22, 2016 Idaho vs. Colorado St. (Potato Bowl) (ESPN)",-,1143.0
"December 23, 2016 Ohio vs. Troy (Mobile Bowl) (ESPN)",-,2512.0
"December 23, 2016 La. Tech vs. Navy (A. Forces Bowl) (ESPN)",-,2341.0
"December 23, 2016 ODU vs. E. Michigan (Bahamas Bowl) (ESPN)",-,1371.0
"December 24, 2016 Hawaii vs. MTSU (Hawaii Bowl) (ESPN)",0.7,1359.0
"December 26, 2016 Miss. St. vs. Miami (OH) (St. Pete Bowl) (ESPN)",-,2045.0
"December 26, 2016 Boston Coll. vs. Maryland (Detriot Bowl) (ESPN)",-,3019.0
"December 26, 2016 N.C. State vs. Vanderbilt (Indpndnc. Bowl) (ESPN2)",-,1270.0
"December 27, 2016 Minnesota vs. Wash. St. (Holiday Bowl) (ESPN)",-,4046.0
"December 27, 2016 Baylor vs. Boise. St. (Cactus Bowl) (ESPN)",-,2282.0
"December 27, 2016 Wake Forest vs. Temple (Military Bowl) (ESPN)",-,2100.0
"December 27, 2016 Army vs. North Texas (Dallas Bowl) (ESPN)",-,1615.0
"December 28, 2016 Miami vs. W. Virginia (Russ. Ath. Bowl) (ESPN)",-,4252.0
"December 28, 2016 K-State vs. Texas A&M (Texas Bowl) (ESPN)",-,3791.0
"December 28, 2016 Utah vs. Indiana (San Fran. Bowl) (ESPN)",1.6,2628.0
"December 28, 2016 N'Western vs. Pittsburgh (Pinstripe Bowl) (ESPN)",-,2425.0
"December 29, 2016 Va. Tech vs. Arkansas (Belk Bowl) (ESPN)",2.9,4963.0
"December 29, 2016 Okla. St. vs. Colorado (Alamo Bowl) (ESPN)",2.6,4551.0
"December 29, 2016 USF vs. S. Carolina (Birminghm. Bowl) (ESPN)",-,2308.0
"December 30, 2016 FSU vs. Michigan (Orange Bowl) (ESPN)",6.2,11461.0
"December 30, 2016 Tennessee vs. Nebraska (Music City Bowl) (ESPN)",-,5026.0
"December 30, 2016 Georgia vs. TCU (Liberty Bowl) (ESPN)",-,3128.0
"December 30, 2016 Stanford vs. UNC (Sun Bowl) (CBS)",1.9,2926.0
"December 31, 2016 Alabama vs. Washington (Peach Bowl) (ESPN, ESPN2)",10.7,19344.0
"December 31, 2016 Clemson vs. Ohio State (Fiesta Bowl) (ESPN, ESPN2)",9.8,19237.0
"December 31, 2016 LSU vs. Louisville (Citrus Bowl) (ABC)",3.9,6390.0
"December 31, 2016 Ga. Tech vs. Kentucky (Gator Bowl) (ESPN)",1.6,2647.0
"January 2, 2017 USC vs. Penn State (Rose Bowl) (ESPN)",8.6,15740.0
"January 2, 2017 Oklahoma vs. Auburn (Sugar Bowl) (ESPN)",5.6,9515.0
"January 2, 2017 Wisconsin vs. W. Michigan (Cotton Bowl) (ESPN)",3.1,5442.0
"January 7, 2017 J. Madison vs. Youngstwn St. (FCS Champ.) (ESPN2)",0.9,1562.0
"January 9, 2017 Clemson vs. Alabama (CFP Champ.) (ESPN Megacast)",14.2,25266.0
